Gene ID	Control-1(raw)	Control-2(raw)	Control-3(raw)	Treat-1(raw)	Treat-2(raw)	Treat-3(raw)	Control-1	Control-2	Control-3	Treat-1	Treat-2	Treat-3	Gene Symbol
102632818	0	0	0	0	0	0	0	0	0	0	0	0	Gm30794
102633006	0	0	0	0	0	0	0	0	0	0	0	0	Gm30938
102633068	0	0	0	0	0	0	0	0	0	0	0	0	Gm30984
108168330	0	0	0	0	0	0	0	0	0	0	0	0	Gm46587
108168359	0	0	0	0	0	0	0	0	0	0	0	0	Gm46609
17075	63.499996	52.864407	48.302307	73	79.86104	134.56955	-0.14481902	-0.1263187	-0.6097462	0.12631845	0.27138114	0.8876195	Epcam
17685	415.36322	330.3425	477.78485	381.66324	283.20053	301.81717	0.049763203	0.00231266	0.18148851	-0.002312183	-0.41732144	-0.4620204	Msh2
210741	8	9.5	3	9.5	10.346757	10	-0.25230426	0.23650357	-0.25230426	0.023540914	0.16218743	-0.0235409	Kcnk12
105246349	0	0	0	0	0	0	0	0	0	0	0	0	Gm41649
626888	0	0	0	0	0	0	0	0	0	0	0	0	Rpl36-ps4
17688	448.37363	347.84982	458.7374	401.2938	316.15564	401.65903	0.08666086	0.003384113	0.04936552	-0.003384113	-0.33194065	-0.12315416	Msh6
225055	2305.8962	1942.0504	2604.2036	2316.6528	2279.7266	2662.1465	-0.07285547	-0.037642002	0.032396793	0.003856659	-0.003857136	0.08332205	Fbxo11
108167341	0	0	0	0	0	0	0	0	0	0	0	0	Gm45950
225058	13	22	22.75	12	25	14	-0.39646125	0.64549065	0.340631	-0.44194102	0.63242006	-0.340631	Gm4832
102633747	0	0	0	0	0	0	0	0	0	0	0	0	Gm31499
102633900	0	0	0	0	0	0	0	0	0	0	0	0	Gm31615
105246351	0	0	0	0	0	0	0	0	0	0	0	0	Gm41651
